nome,cognome,data_nascita
Claudia,Greco,2005-04-13
Mehdi,Moretti,2007-10-01
Andrea,Bruno,2006-02-24
Eleonora,Bennani,2005-12-23
Rosa,Leone,2005-05-11
Marco,Ricci,2007-06-15
Andrea,Lombardo,2011-10-02
Marco,Haddad,2007-03-26
Karim,Khalil,2012-11-12
Giovanni,Caruso,2007-06-22
Leonardo,Rachidi,2008-02-14
Mohamed,Rossi,2006-10-16
Youssef,Leone,2008-10-25
Lorenzo,Gallo,2007-06-01
Nadia,Mariani,2006-02-23
Alessandro,Farina,2006-02-01
Valentina,Ferrari,2011-10-09
Federico,Esposito,2010-02-25
Giovanni,Greco,2009-03-31
Alessandro,Haddad,2008-04-15
Rayan,Ait Lahcen,2011-12-09
Maya,Serra,2011-06-23
Giorgia,Colombo,2005-07-07
Marta,Giordano,2008-03-31
Alessandro,Giordano,2006-02-18
Greta,Moretti,2010-02-01
Claudia,Serra,2006-10-29
Beatrice,Ferrari,2007-05-09
Marta,Moretti,2012-11-14
Eleonora,Khalil,2005-10-20
Laura,Ait Lahcen,2006-12-02
Giovanni,Rizzo,2006-11-01
Tommaso,Farina,2008-01-11
Claudia,Sabbah,2011-04-01
Andrea,Cherkaoui,2008-08-21
Rayan,Romano,2007-07-28
Omar,Esposito,2008-07-16
Noemi,Moretti,2005-09-29
Aurora,Mansouri,2008-07-12
Aurora,Khalil,2010-08-07
Noemi,Khalil,2010-02-23
Martina,Lombardi,2006-07-26
Simone,Haddad,2011-01-17
Federico,Rachidi,2009-10-21
Lina,Rachidi,2009-06-24
Beatrice,Giordano,2006-07-21
Michele,Vitale,2006-01-08
Nadia,Romano,2006-03-26
Martina,Ait Lahcen,2006-10-18
Amina,Cherkaoui,2009-09-26
Laura,Colombo,2009-04-26
Greta,Fassi,2010-04-02
Antonio,Lombardi,2011-03-17
Ines,Rossi,2012-08-18
Amir,Greco,2012-08-24
Maya,Bennani,2007-12-29
Fatima,Khalil,2008-10-25
Davide,Barbieri,2009-11-16
Elena,Gentile,2005-01-14
Amir,Lombardi,2010-08-13
Nadia,De Luca,2010-09-11
Nora,Marino,2012-01-06
Gabriele,Ait Lahcen,2010-09-11
Laura,Mancini,2006-09-19
Beatrice,Conti,2011-01-19
Fatima,El Amrani,2005-01-03
Laura,Santoro,2010-06-25
Marco,Greco,2009-01-26
Maya,Fontana,2007-09-08
Sara,Rizzo,2011-05-13
Alessandro,Ricci,2010-06-14
Omar,Colombo,2010-12-22
Fatima,Bruno,2006-06-10
Marta,Martinelli,2011-03-02
Elena,Lombardi,2010-12-02
Ines,Fassi,2009-09-30
Aurora,Bennani,2012-09-26
Giorgia,Fontana,2009-06-23
Marta,Khalil,2009-03-10
Leonardo,El Amrani,2010-01-24
Davide,Rizzo,2007-07-10
Francesco,Mariani,2005-03-28
Rosa,Haddad,2007-08-01
Rosa,Giordano,2005-01-30
Francesco,Ait Lahcen,2005-08-30
Andrea,Colombo,2005-05-09
Ines,Mariani,2005-10-18
Michele,Rizzo,2008-02-15
Marta,Vitale,2007-05-28
Giovanni,Bruno,2011-05-28
Pietro,Martinelli,2007-09-23
Amina,Martinelli,2009-07-26
Giorgia,Marino,2006-02-02
Marta,Leone,2008-12-22
Emma,Caruso,2010-03-28
Ines,Romano,2012-07-21
Ilaria,Khalil,2006-02-08
Sara,Rinaldi,2008-10-21
Mohamed,Marino,2007-10-16
Giorgia,Mancini,2011-01-06
Leonardo,Bruno,2009-09-25
Sofia,Moretti,2010-03-10
Simone,Colombo,2009-12-21
Mohamed,Haddad,2006-02-06
Sara,Khalil,2011-01-24
Rayan,Rossi,2006-01-18
Nadia,Rizzo,2006-11-13
Alice,Vitale,2010-05-26
Aurora,Rinaldi,2005-08-29
Elena,Farina,2005-01-09
Greta,Lombardi,2010-02-07
Riccardo,Leone,2012-10-24
Amir,Haddad,2012-06-04
Karim,Vitale,2006-09-27
Giorgia,Barbieri,2007-06-11
Sara,Rachidi,2011-01-30
Sara,Santoro,2005-08-23
Sara,Rachidi,2010-05-07
Michele,El Amrani,2006-10-07
Sara,Lombardo,2005-11-25
Adam,De Luca,2005-10-08
Laura,Colombo,2012-07-28
Ines,Rizzo,2009-07-12
Davide,Mansouri,2007-10-06
Rosa,Fassi,2005-06-12
Federica,Ricci,2009-09-14
Marta,Rachidi,2011-05-05
Antonio,Santoro,2007-12-05
Aurora,Ziani,2008-07-10
Simone,Lombardi,2009-06-10
Chiara,Ziani,2012-03-28
Gabriele,Gentile,2008-07-19
Nadia,Colombo,2005-02-08
Tommaso,Benali,2011-04-26
Matteo,Colombo,2011-01-12
Aurora,Lombardo,2007-12-23
Chiara,Ferrari,2005-10-09
Maya,Rizzo,2009-02-22
Riccardo,Conti,2009-11-30
Rayan,Bennani,2012-11-21
Gabriele,Benali,2012-05-02
Antonio,Rossi,2012-06-28
Omar,Haddad,2008-05-11
Marta,Marino,2006-07-05
Federico,Greco,2006-03-15
Mehdi,Haddad,2006-09-29
Lorenzo,Barbieri,2011-10-14
Aurora,Mariani,2007-04-14
Eleonora,Ait Lahcen,2007-12-18
Michele,Vitale,2007-10-26
Lina,Romano,2006-01-14
Claudia,Leone,2008-02-08
Giulia,Rossi,2008-09-28
